S.no,Brand,Status
1,INTERVALVE,Active
2,KSB,Active
3,"POSITIVE DISPLEASURE PUMPS",Active
4,"ATLAS COPCO",Active
5,OKS,Active
6,3M,Active
7,"ION EXCHANGE",Active
8,SIEMENS,Active
9,CG,Active
10,ksb,Active
11,ABB,Active
12,"ENI PRODUCT",Active
13,CG,Active
14,"Keros And FLS",Active
15,"ION EXCHANGE",Active
16,"Eagle Burgmann",Active
17,KLUBER,Active
18,"BUTTER FLY VALVES",Active
19,"POSITIVE METERING",Active
20,"Crompton Greaves",Active
21,Rovar,Active
22,RB,Active
23,Fiebig,Active
24,Danfoss,Active
25,Techtrol,Active
26,testbrand,Active
27,testbrand1,Active
