"S. No",Category,Brand,Product,Code,Price,"Available Stock","Min. Stock",Status
1,"Scroll Compressor","ATLAS COPCO","Scroll Type Oil Free Compressor",,512003,,1,
2,"Pumps, Systems & Spares",KSB,"Stuffing Box Housing",,3191,,1,
3,"Pumps, Systems & Spares",KSB,"Bearing End Cover",,376,,1,
4,"Air Compressors & Spares","ATLAS COPCO","Kit-Seal Ring",,5917,,1,
5,"Air Compressors & Spares","ATLAS COPCO","Intake Valve",,21808,,1,
6,"Pumps, Systems & Spares","ION EXCHANGE","MGF 1200-MSRL",,215250/-,,1,
7,Panel,SMC,"Control Panel Assembly",,52763,,1,
8,pumpset,Rajedia,"centrifugal pump set",,126444,,1,
9,"Pumps, Systems & Spares",KSB,"Wear Ring",,5856,,1,
10,"Pumps, Systems & Spares",KSB,"Booster Controller",,23625,,1,
